"","(Intercept)","MSSubClass","MSZoningFV","MSZoningRH","MSZoningRL","MSZoningRM","LotArea","StreetPave","LotShapeIR2","LotShapeIR3","LotShapeReg","LandContourHLS","LandContourLow","LandContourLvl","UtilitiesNoSeWa","LotConfigCulDSac","LotConfigFR2","LotConfigFR3","LotConfigInside","LandSlopeMod","LandSlopeSev","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","Condition1Feedr","Condition1Norm","Condition1PosA","Condition1PosN","Condition1RRAe","Condition1RRAn","Condition1RRNe","Condition1RRNn","Condition2Feedr","Condition2Norm","Condition2PosA","Condition2PosN","Condition2RRAe","Condition2RRAn","Condition2RRNn","BldgType2fmCon","BldgTypeDuplex","BldgTypeTwnhs","BldgTypeTwnhsE","HouseStyle1.5Unf","HouseStyle1Story","HouseStyle2.5Fin","HouseStyle2.5Unf","HouseStyle2Story","HouseStyleSFoyer","HouseStyleSLvl","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyleGable","RoofStyleGambrel","RoofStyleHip","RoofStyleMansard","RoofStyleShed","RoofMatlCompShg","RoofMatlMembran","RoofMatlMetal","RoofMatlRoll","RoofMatlTar&Grv","RoofMatlWdShake","RoofMatlWdShngl","Exterior1stAsphShn","Exterior1stBrkComm","Exterior1stBrkFace","Exterior1stCBlock","Exterior1stCemntBd","Exterior1stHdBoard","Exterior1stImStucc","Exterior1stMetalSd","Exterior1stPlywood","Exterior1stStone","Exterior1stStucco","Exterior1stVinylSd","Exterior1stWd Sdng","Exterior1stWdShing","Exterior2ndAsphShn","Exterior2ndBrk Cmn","Exterior2ndBrkFace","Exterior2ndCBlock","Exterior2ndCmentBd","Exterior2ndHdBoard","Exterior2ndImStucc","Exterior2ndMetalSd","Exterior2ndOther","Exterior2ndPlywood","Exterior2ndStone","Exterior2ndStucco","Exterior2ndVinylSd","Exterior2ndWd Sdng","Exterior2ndWd Shng","MasVnrTypeBrkFace","MasVnrTypeNone","MasVnrTypeStone","MasVnrArea","ExterQualFa","ExterQualGd","ExterQualTA","ExterCondFa","ExterCondGd","ExterCondPo","ExterCondTA","FoundationCBlock","FoundationPConc","FoundationSlab","FoundationStone","FoundationWood","BsmtQualFa","BsmtQualGd","BsmtQualTA","BsmtCondGd","BsmtCondPo","BsmtCondTA","BsmtExposureGd","BsmtExposureMn","BsmtExposureNo","BsmtFinType1BLQ","BsmtFinType1GLQ","BsmtFinType1LwQ","BsmtFinType1Rec","BsmtFinType1Unf","BsmtFinSF1","BsmtFinType2BLQ","BsmtFinType2GLQ","BsmtFinType2LwQ","BsmtFinType2Rec","BsmtFinType2Unf","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingGasA","HeatingGasW","HeatingGrav","HeatingOthW","HeatingWall","HeatingQCFa","HeatingQCGd","HeatingQCPo","HeatingQCTA","CentralAirY","ElectricalFuseF","ElectricalFuseP","ElectricalMix","ElectricalSBrkr","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQualFa","KitchenQualGd","KitchenQualTA","TotRmsAbvGrd","FunctionalMaj2","FunctionalMin1","FunctionalMin2","FunctionalMod","FunctionalSev","FunctionalTyp","Fireplaces","GarageTypeAttchd","GarageTypeBasment","GarageTypeBuiltIn","GarageTypeCarPort","GarageTypeDetchd","GarageYrBlt","GarageFinishRFn","GarageFinishUnf","GarageCars","GarageArea","GarageQualFa","GarageQualGd","GarageQualPo","GarageQualTA","GarageCondFa","GarageCondGd","GarageCondPo","GarageCondTA","PavedDriveP","PavedDriveY","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleTypeCon","SaleTypeConLD","SaleTypeConLI","SaleTypeConLw","SaleTypeCWD","SaleTypeNew","SaleTypeOth","SaleTypeWD","SaleConditionAdjLand","SaleConditionAlloca","SaleConditionFamily","SaleConditionNormal","SaleConditionPartial"
"1",1,0.0936662974854238,0,0,1,0,-0.218281626245398,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.589117211952074,-0.553194943706836,1.0137775162459,0.853897132624773,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.461409153129599,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.526960147317754,0,0,0,0,1,-0.296144691502133,-0.98305318623947,-0.591653456280363,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.828206714311946,1.12839099401886,-0.10370107233526,0.331197532334054,1.08854214152669,-0.250483467567576,0.775269919018846,1.18440562128709,0.174173450108972,-0.171126483353232,0,1,0,0.914738472366106,0,0,0,0,0,1,-1.005170186875,1,0,0,0,0,0.985058613975193,1,0,0.202670971534758,0.249248288989936,0,0,0,1,0,0,0,1,0,1,-0.779262898941257,0.202218033017863,-0.349481284038999,-0.118643310289815,-0.283096987899947,-0.071743742720667,-0.0845039009804176,-1.60471943204565,0.146029322191501,0,0,0,0,0,0,0,1,0,0,0,1,0
"2",1,-0.875970112847243,0,0,1,0,-0.107026702036096,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.165900824055469,2.22941721674334,0.100490402410849,-0.476383940867083,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.594597929672235,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.11982085726215,0,0,0,0,1,-0.296144691502133,-0.678473485840894,0.40944520046553,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.221852164413923,-0.811085607255873,-0.10370107233526,-0.529381118856534,-0.850831207824453,3.88713233003016,0.775269919018846,-0.798992027376396,0.174173450108972,-0.171126483353232,0,0,1,-0.347034801887348,0,0,0,0,0,1,0.544274179529092,1,0,0,0,0,-0.104805023427349,1,0,0.202670971534758,-0.2219399863108,0,0,0,1,0,0,0,1,0,1,1.55731275036241,-0.73103791376483,-0.349481284038999,-0.118643310289815,-0.283096987899947,-0.071743742720667,-0.0845039009804176,-0.493376471343229,-0.605460035855428,0,0,0,0,0,0,0,1,0,0,0,1,0
"3",1,0.0936662974854238,0,0,1,0,0.052599928351163,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.589117211952074,-0.553194943706836,0.946126618924788,0.804627463236186,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.278224251010913,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.0474404554509605,0,0,0,0,1,-0.296144691502133,-0.337526060021593,-0.433844801029779,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.662680191557129,1.15564359263162,-0.10370107233526,0.477188553518172,1.08854214152669,-0.250483467567576,0.775269919018846,1.18440562128709,0.174173450108972,-0.171126483353232,0,1,0,-0.347034801887348,0,0,0,0,0,1,0.544274179529092,1,0,0,0,0,0.904327974167597,1,0,0.202670971534758,0.570513022149529,0,0,0,1,0,0,0,1,0,1,-0.779262898941257,-0.0884682454882219,-0.349481284038999,-0.118643310289815,-0.283096987899947,-0.071743742720667,-0.0845039009804176,0.988414142926671,0.146029322191501,0,0,0,0,0,0,0,1,0,0,0,1,0
"4",1,0.33607540006859,0,0,1,0,-0.111863872653892,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.589117211952074,-0.553194943706836,-1.96286196588316,-0.772001957198607,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.594597929672235,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,-0.541060984567377,0,0,0,0,1,-0.296144691502133,-0.0965898791092867,-0.8382294801094,1,0,0,0,0,0,1,0,0,1,0,0,0,1,-0.556639762917325,0.90582810534799,-0.10370107233526,0.344644073758907,1.08854214152669,-0.250483467567576,-1.05098210852907,-0.798992027376396,0.174173450108972,-0.171126483353232,0,1,0,0.283851835239379,0,0,0,0,0,1,0.544274179529092,0,0,0,0,1,0.783232014456204,0,1,1.77926259893886,0.752563037606632,0,0,0,1,0,0,0,1,0,1,-0.779262898941257,-0.19556319020099,4.12097039034915,-0.118643310289815,-0.283096987899947,-0.071743742720667,-0.0845039009804176,-1.60471943204565,-1.35694939390236,0,0,0,0,0,0,0,1,0,0,0,0,0
"5",1,0.0936662974854238,0,0,1,0,0.343797599542466,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.34413524795962,-0.553194943706836,0.912301170264231,0.706088124459011,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.29112900390247,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.415798764203179,0,0,0,0,1,-0.296144691502133,-0.210239021049054,0.120951252585556,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.0807510099972261,1.58032992101379,-0.10370107233526,1.26861356309523,1.08854214152669,-0.250483467567576,0.775269919018846,1.18440562128709,1.46170978295872,-0.171126483353232,0,1,0,1.54562510949283,0,0,0,0,0,1,0.544274179529092,1,0,0,0,0,0.863962654263799,1,0,1.77926259893886,1.79131900815598,0,0,0,1,0,0,0,1,0,1,0.726181814704059,0.554101422788386,-0.349481284038999,-0.118643310289815,-0.283096987899947,-0.071743742720667,-0.0845039009804176,2.0997571036291,0.146029322191501,0,0,0,0,0,0,0,1,0,0,0,1,0
"6",1,-0.148742805097743,0,0,1,0,0.329769804750859,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.920918860063011,-0.553194943706836,0.675523029640328,0.459739777516075,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.594597929672235,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.583630656356557,0,0,0,0,1,-0.296144691502133,-1.17852971037587,-0.739599070577785,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.983387829394587,0.474328627312627,-0.10370107233526,-0.337287669930064,1.08854214152669,-0.250483467567576,-1.05098210852907,1.18440562128709,-2.40089921559052,-0.171126483353232,0,0,1,-0.977921439014075,0,0,0,0,0,1,-1.005170186875,1,0,0,0,0,0.581405414937214,0,1,0.202670971534758,-0.114851741924269,0,0,0,1,0,0,0,1,0,1,-0.465628583598483,-0.272059579281538,-0.349481284038999,10.4687513820168,-0.283096987899947,-0.071743742720667,1.29329628107966,1.35886179649415,0.897518680238429,0,0,0,0,0,0,0,1,0,0,0,1,0
"7",1,-0.875970112847243,0,0,1,0,-0.0602028904558336,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.34413524795962,-0.553194943706836,1.04760296490646,0.952436471401948,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.40753124074175,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.97205812780723,0,0,0,0,1,-0.296144691502133,-0.603465052160648,1.45492754150065,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.33915619300894,-0.811085607255873,-0.10370107233526,0.300462580505819,1.08854214152669,-0.250483467567576,0.775269919018846,-0.798992027376396,0.174173450108972,-0.171126483353232,0,1,0,0.283851835239379,0,0,0,0,0,1,0.544274179529092,1,0,0,0,0,1.02542393387899,1,0,0.202670971534758,0.720436564290673,0,0,0,1,0,0,0,1,0,1,1.22015586136893,0.141020921753424,-0.349481284038999,-0.118643310289815,-0.283096987899947,-0.071743742720667,-0.0845039009804176,0.617966489359196,-0.605460035855428,0,0,0,0,0,0,0,1,0,0,0,1,0
"8",1,0.0936662974854238,0,0,1,0,-0.031373353573771,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.589117211952074,0.374342443109888,-0.000985943570823944,-0.624192949032845,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.698471967636133,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.860444296661478,1,0,0,0,0,-0.103601624849305,-0.833036318878978,0.0272523635305217,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.179032382882899,1.42135642910603,-0.10370107233526,1.06115263825464,1.08854214152669,-0.250483467567576,0.775269919018846,1.18440562128709,0.174173450108972,-0.171126483353232,0,0,1,0.283851835239379,0,0,0,0,0,1,2.09371854593319,1,0,0,0,0,-0.225900983138742,1,0,0.202670971534758,-0.0934340930469627,0,0,0,1,0,0,0,1,0,1,1.06333870369754,2.39001476072155,3.39780909008048,-0.118643310289815,-0.283096987899947,-0.071743742720667,0.604396190049622,1.72930945006162,0.897518680238429,0,0,0,0,0,0,0,1,0,0,0,1,0
"9",1,-0.148742805097743,0,0,0,1,-0.44369377703468,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589117211952074,-0.553194943706836,-1.42165478731424,-1.75739534497035,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.594597929672235,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-1.01186213658205,0,0,0,0,1,-0.296144691502133,0.839879050474394,-0.354940473404487,1,0,0,0,0,0,1,0,0,1,1,0,0,0,-0.39887229591664,0.896743905810403,-0.10370107233526,0.454137339646995,-0.850831207824453,-0.250483467567576,0.775269919018846,-0.798992027376396,-1.11336288274077,5.55305438481239,0,0,1,0.914738472366106,0,1,0,0,0,0,2.09371854593319,0,0,0,0,1,-1.92124441909825,0,1,0.202670971534758,-0.179104688556188,1,0,0,0,0,0,0,1,0,1,-0.0735856894200153,-0.73103791376483,3.01979295584913,-0.118643310289815,-0.283096987899947,-0.071743742720667,-0.0845039009804176,-0.863824124910704,0.146029322191501,0,0,0,0,0,0,0,1,0,0,0,0,0
"10",1,3.24498463106659,0,0,1,0,-0.317927340971991,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.920918860063011,0.374342443109888,-1.15105119802978,-1.75739534497035,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.594597929672235,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0.843007216957231,0,0,0,0,1,-0.296144691502133,-1.00578301462742,-0.258775824111162,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.256622940424219,-0.811085607255873,-0.10370107233526,-0.884753999370505,1.08854214152669,-0.250483467567576,-1.05098210852907,-0.798992027376396,-1.11336288274077,5.55305438481239,0,0,1,-0.977921439014075,0,0,0,0,0,1,2.09371854593319,1,0,0,0,0,-1.59832185986787,1,0,-1.37392065586935,-1.58731510223907,0,1,0,0,0,0,0,1,0,1,-0.779262898941257,-0.669840802500391,-0.349481284038999,-0.118643310289815,-0.283096987899947,-0.071743742720667,-0.0845039009804176,-1.97516708561313,0.146029322191501,0,0,0,0,0,0,0,1,0,0,0,1,0
