"","x"
"1",208500
"2",181500
"3",223500
"4",140000
"5",250000
"6",143000
"7",307000
"8",200000
"9",129900
"10",118000
"11",129500
"12",345000
"13",144000
"14",279500
"15",157000
"16",132000
"17",149000
"18",159000
"19",139000
"20",325300
"21",139400
"22",230000
"23",129900
"24",154000
"25",256300
"26",134800
"27",306000
"28",207500
"29",68500
"30",40000
"31",149350
"32",179900
"33",165500
"34",277500
"35",309000
"36",145000
"37",153000
"38",109000
"39",160000
"40",170000
"41",144000
"42",130250
"43",141000
"44",319900
"45",239686
"46",249700
"47",127000
"48",177000
"49",114500
"50",110000
"51",385000
"52",130000
"53",180500
"54",172500
"55",196500
"56",438780
"57",124900
"58",158000
"59",101000
"60",202500
"61",140000
"62",219500
"63",317000
"64",180000
"65",226000
"66",80000
"67",225000
"68",244000
"69",129500
"70",185000
"71",144900
"72",107400
"73",91000
"74",135750
"75",127000
"76",110000
"77",193500
"78",153500
"79",245000
"80",126500
"81",168500
"82",260000
"83",174000
"84",164500
"85",98600
"86",163500
"87",133900
"88",204750
"89",185000
"90",214000
"91",94750
"92",83000
"93",205000
"94",178000
"95",198900
"96",169500
"97",250000
"98",100000
"99",115000
"100",190000
"101",136900
"102",180000
"103",383970
"104",217000
"105",259500
"106",176000
"107",139000
"108",155000
"109",320000
"110",163990
"111",180000
"112",100000
"113",136000
"114",153900
"115",181000
"116",128000
"117",155000
"118",150000
"119",226000
"120",244000
"121",150750
"122",220000
"123",180000
"124",174000
"125",143000
"126",171000
"127",230000
"128",231500
"129",260000
"130",166000
"131",204000
"132",125000
"133",130000
"134",105000
"135",222500
"136",115000
"137",122000
"138",372402
"139",190000
"140",235000
"141",125000
"142",269500
"143",254900
"144",320000
"145",162500
"146",412500
"147",220000
"148",152000
"149",190000
"150",325624
"151",183500
"152",228000
"153",128500
"154",215000
"155",239000
"156",163000
"157",184000
"158",243000
"159",211000
"160",172500
"161",501837
"162",100000
"163",177000
"164",200100
"165",200000
"166",127000
"167",475000
"168",173000
"169",135000
"170",153337
"171",286000
"172",315000
"173",184000
"174",192000
"175",130000
"176",127000
"177",148500
"178",311872
"179",235000
"180",274900
"181",140000
